feature,ks_stat,p_value,broca_mean,child_mean
rel_ROOT_frac,0.8584850331018237,2.319556571273694e-250,0.35265247750687206,0.1255855234018102
pos_aux_frac,0.7375354372283822,4.2830931036277956e-165,0.04266363768708226,0.004908475019441869
rel_PUNCT_frac,0.6732516957069168,1.204211338824298e-132,0.04868917692122134,0.009558180274713442
mlu_morphemes,0.6269176719060964,1.2455913300249717e-112,7.465749661495963,3.2970063440023156
pos_unique_tags,0.6116664635879939,1.4570833128370764e-106,12.713333333333333,15.671134397465579
pos_part_frac,0.5441298078875756,2.1710841473317732e-82,0.007184738124018428,0.026970051605949494
pos_conj_frac,0.5304618009016693,5.473500899746264e-78,0.0,0.006740658436778957
retracing_per_utt,0.5176678445229682,5.246179823807385e-74,0.0,0.018413582135201702
pos_inf_frac,0.5087729986596807,2.576641547256534e-71,0.0,0.00443814283585582
rel_INF_frac,0.49957353478737665,1.3472924341328777e-68,0.0,0.004255932057242777
mean_dep_distance,0.47436578530522727,1.7752258754700787e-61,1.663469003774114,1.3410239541692244
rel_OBJ_frac,0.4059311157142277,1.9510297128290737e-44,0.03898853343706109,0.06620747729715817
function_word_ratio,0.36292717598797775,2.5384576038648734e-35,0.4854944469657721,0.518546807957222
rel_DET_frac,0.3512590877706024,4.751374876574478e-33,0.05910798042344102,0.07431014487691456
pos_det_frac,0.3486381544210227,1.4986657626244856e-32,0.07102215957627642,0.09105185731470296
pos_pro_frac,0.3234076601275334,5.8244220485000085e-28,0.13998756493427672,0.1854296237212248
single_word_ratio,0.3065500995085496,4.168446659861733e-25,0.2731702604093524,0.3472429595252841
ttr,0.2915803582307786,1.0361724895599429e-22,0.36092526289096594,0.4079912392017575
pos_co_frac,0.25670768855854764,1.2488700851659213e-17,0.17733832491922547,0.10566250270973108
pos_n_frac,0.24986637423337804,1.0294759234308715e-16,0.17338705618649292,0.19943311237412625
max_dep_distance,0.24954997766134596,1.1333140485775113e-16,6.8,5.280796880711588
rel_AUX_frac,0.24699971568985818,2.4473740769249713e-16,0.020101321799028186,0.029991975763013087
pos_adj_frac,0.23251817554120469,1.6547429616999184e-14,0.04537734199865186,0.0299354602788566
pos_qn_frac,0.20399049591811869,3.06311909174665e-11,0.02361566103350448,0.011899972199634427
pos_prep_frac,0.19331952398359126,3.931466879359207e-10,0.030867098815406765,0.037870754164100295
utt_len_p10,0.18065228869664107,6.7709352518733034e-09,1.3,1.0297916412818326
hapax_ratio,0.17450347264530275,2.5098789125117157e-08,0.5578046154094075,0.528516924217925
utt_len_mean,0.16211201819584908,3.055504776536041e-07,3.3698249528209017,2.9442891327579566
mlu_words,0.16211201819584908,3.055504776536041e-07,3.3698249528209017,2.9442891327579566
verbs_per_utterance,0.1590333455180537,5.522077911261404e-07,0.39143222585340287,0.3408810901957008
utt_len_p50,0.15397506193899513,1.4239125396211124e-06,2.9266666666666667,2.4651516997684904
log_total_tokens,0.1527955810080826,1.7679164000084085e-06,5.549557003436224,5.510454243248816
total_words,0.1527955810080826,1.7679164000084085e-06,284.42333333333335,260.3738881442671
ndw,0.1427143495390114,1.0489260772442095e-05,100.59666666666666,104.22310222980383
n_utterances,0.13832622557978963,2.1908446659113038e-05,84.96666666666667,87.98446448154014
pos_adv_frac,0.12825717883107912,0.00010873183845063016,0.06401809044830693,0.05716796716372449
utt_len_p90,0.12762194874294308,0.00011980288070370588,5.8533333333333335,5.415194346289753
pos_v_frac,0.09820397221883762,0.006279808738149211,0.11161928621822029,0.11435920172254556
utt_len_std,0.06968644652938548,0.10865123324931414,2.020186438420679,1.9865833902893815
unique_head_rel_dep_triples,0.06320092603874743,0.1814558309700095,67.52,65.39125137078103
unique_head_dep_pairs,0.04946793387758418,0.45148959457903093,50.42,50.25837699524796
