held_out_corpus,n_test,n_train,mae_months,rmse_months,mean_bias_months,pearson_r
Peters,78,4113,1.9188236255664186,2.195626814119415,-1.3227351836066465,0.8022936184271185
Suppes,52,4139,2.5086534331461317,3.1802023458227264,1.7774275841009424,0.911980195745173
McCune,46,4145,3.556449063288309,4.591117704970938,-1.0128631790486278,0.41379431393749716
NewmanRatner,142,4049,4.211068374818538,5.90508645880258,2.466322589603032,0.2527625661597753
Snow,40,4151,4.2723129240797535,5.95550414781452,-0.061072580441802235,0.8408956060102921
Post,30,4161,4.355957267817396,5.323799482250165,0.8165302347804573,0.16046980068828876
Sachs,91,4100,4.5073545574414045,6.220245319681713,0.5988829730467154,0.7709974521937433
Valian,43,4148,5.03789636891024,6.617618466022784,4.004593081651615,0.5610422847301734
NewEngland,87,4104,5.560483929260006,7.893065147127499,4.372598941587612,0.8036305297125982
VanHouten,62,4129,6.066570000186576,7.556935122769562,3.130007037494106,0.7565193657651592
Brown,214,3977,6.2485130111554446,7.627095934983514,-4.0777265896766925,0.8182253305250647
VanKleeck,40,4151,6.276233745332765,7.718953003627008,-5.505231901781133,-0.0757379911912841
Morisset,186,4005,6.553056679152558,8.236193597658751,0.5631488268636864,0.27422944236160623
Weist,182,4009,6.870417380365917,8.140185051575157,5.052197937918306,0.7274181372341022
Kuczaj,210,3981,7.729828795514286,9.311948522485453,5.724105694086311,0.5983881140782537
Nicolopoulou,49,4142,7.86817888984211,9.17617115503337,6.145042837140256,0.36370598007588
Gleason,70,4121,8.121762813580396,10.22602117728808,2.7432918998006572,0.40579395101852256
Bates,79,4112,8.174295096204613,10.821317754811217,7.03991710908504,0.5438435711996683
Garvey,45,4146,8.34117433772926,9.556358605842108,-3.3394154508073477,0.5485537073793975
Braunwald,404,3787,8.89404233715008,11.068724256254553,8.143635209764867,0.7380961608893196
Hall,37,4154,9.242412329510328,9.759318251036852,-9.072258734966573,0.12228666386867343
Demetras2,38,4153,9.382150664838468,10.5313676027344,9.32917127274448,0.18638262870093764
Gopnik,72,4119,10.475989203548103,12.363165790482268,8.926454276410482,0.6503992885809373
MacWhinney,252,3939,10.53343468851824,12.916710115483575,-1.3735296374578927,0.7461947245216156
PetersonMcCabe,59,4132,11.141845404677285,13.677888318204857,-3.804398033367467,0.1638985152169662
Gelman,437,3754,13.39277426184886,16.108244065932304,-11.71409794932742,0.4129851875278992
HSLLD,700,3491,14.123391554057037,16.92789380315875,-12.52194330723465,0.297406914644009
Clark,47,4144,14.88410837339833,16.237952423079552,14.88410837339833,0.9009281394249572
Soderstrom,49,4142,17.300789859970283,17.95069071531058,17.300789859970283,0.4055409873337097
Hicks,114,4077,19.013928367010422,20.54553713028244,-18.923179145252988,0.12628323936770264
Nelson,31,4160,22.000454979223612,22.873803352172008,22.000454979223612,0.1332359073342861
