modality,target_class,target,metric,n_participants,mean,median,ci_low,ci_high,n_positive,n_gain_ge_0p20
expressive,control,possessive_s,treatment_gain,9,0.03798941798941799,0.0012345679012345512,-0.0489594356261023,0.12772535763276502,5,2
expressive,control,possessive_s,maintenance_gain,9,0.2556300215559475,0.2022222222222222,0.08671026846952772,0.4451693121693117,7,5
expressive,control,possessive_s,cliff_intervention_vs_baseline,9,0.10993533215755437,-0.07407407407407407,-0.22717813051146382,0.4709582598471478,4,4
expressive,control,possessive_s,cliff_maintenance_vs_baseline,9,0.6298412698412699,0.84,0.2726560846560846,0.9139858906525565,7,7
expressive,extension,third_person_singular,treatment_gain,9,0.009421908681167934,-0.004444444444444445,-0.053913384283754646,0.06798177542621982,4,0
expressive,extension,third_person_singular,maintenance_gain,9,0.313180482069371,0.29523809523809524,0.1853706643151088,0.4447305506564766,9,6
expressive,extension,third_person_singular,cliff_intervention_vs_baseline,9,0.01861650009798159,0.13333333333333333,-0.24023025671173812,0.2782069370958257,5,3
expressive,extension,third_person_singular,cliff_maintenance_vs_baseline,9,0.7406701940035274,0.84,0.5250634920634921,0.9143104056437387,9,8
expressive,untrained_target,untrained_past_tense,treatment_gain,9,0.2569625710366451,0.28864197530864194,0.15078022731726434,0.36269468939839306,8,6
expressive,untrained_target,untrained_past_tense,maintenance_gain,9,0.5325729962766999,0.5269135802469136,0.38576043503821283,0.6796942974720753,9,8
expressive,untrained_target,untrained_past_tense,cliff_intervention_vs_baseline,9,0.615716245345875,0.7142857142857143,0.3278150107779738,0.8348922202625905,8,8
expressive,untrained_target,untrained_past_tense,cliff_maintenance_vs_baseline,9,0.9594356261022927,1.0,0.8832451499118166,1.0,9,9
grammaticality_judgment,control,possessive_s,treatment_gain,9,0.005385067607289851,-0.006349206349206327,-0.036686067019400345,0.05201734273956495,4,0
grammaticality_judgment,control,possessive_s,maintenance_gain,9,0.07299823633156964,0.05111111111111111,0.00880070546737213,0.15007392710170472,7,1
grammaticality_judgment,control,possessive_s,cliff_intervention_vs_baseline,9,-0.0006662747403488137,0.0,-0.18518812463256912,0.19934744268077578,4,1
grammaticality_judgment,control,possessive_s,cliff_maintenance_vs_baseline,9,0.28105820105820106,0.37777777777777777,0.008317460317460331,0.5352698412698408,7,5
grammaticality_judgment,extension,third_person_singular,treatment_gain,9,0.054750146972369185,0.060052910052910025,0.0001033215755437765,0.10422721928277451,7,0
grammaticality_judgment,extension,third_person_singular,maintenance_gain,9,0.08890652557319222,0.06095238095238087,0.005461640211640188,0.1821516754850088,6,2
grammaticality_judgment,extension,third_person_singular,cliff_intervention_vs_baseline,9,0.20333137370174403,0.2962962962962963,-0.058867332941407016,0.4119233784048597,7,6
grammaticality_judgment,extension,third_person_singular,cliff_maintenance_vs_baseline,9,0.3009523809523809,0.24,0.0012698412698412666,0.6057142857142858,6,5
grammaticality_judgment,untrained_target,untrained_past_tense,treatment_gain,9,0.015714285714285722,0.009259259259259245,-0.04164256319811876,0.06979467960023517,5,0
grammaticality_judgment,untrained_target,untrained_past_tense,maintenance_gain,9,0.08812356367911924,0.029259259259259263,-0.023605900272566968,0.20738550852439738,6,3
grammaticality_judgment,untrained_target,untrained_past_tense,cliff_intervention_vs_baseline,9,0.08097197726827356,-0.06666666666666667,-0.15047619047619043,0.3345140113658632,4,3
grammaticality_judgment,untrained_target,untrained_past_tense,cliff_maintenance_vs_baseline,9,0.30694885361552027,0.16,-0.031495590828924155,0.6577971781305111,6,4
