modality,comparison,metric,n_participants,mean_difference,median_difference,ci_low,ci_high,wilcoxon_p,n_positive
expressive,untrained_target_minus_control,treatment_gain,9,0.21897315304722711,0.1469135802469136,0.08630844601214972,0.3555233196159121,0.01953125,8
expressive,extension_minus_control,treatment_gain,9,-0.028567509308250034,0.011604938271604942,-0.14143856554967665,0.07992641583382323,0.734375,5
expressive,untrained_target_minus_control,maintenance_gain,9,0.2769429747207525,0.29079365079365077,0.19463335292964923,0.35709014305310594,0.00390625,9
expressive,extension_minus_control,maintenance_gain,9,0.05755046051342351,0.14952380952380956,-0.1959508132471095,0.22716441309033908,0.1640625,7
expressive,untrained_target_minus_control,cliff_intervention_vs_baseline,9,0.5057809131883206,0.2098765432098766,0.11643543013913384,0.8810248873211829,0.07421875,7
expressive,extension_minus_control,cliff_intervention_vs_baseline,9,-0.09131883205957281,0.08888888888888885,-0.594238683127572,0.3633029590436994,1.0,6
expressive,untrained_target_minus_control,cliff_maintenance_vs_baseline,9,0.3295943562610229,0.16000000000000003,0.08704232804232806,0.6308289241622576,0.03125,6
expressive,extension_minus_control,cliff_maintenance_vs_baseline,9,0.11082892416225751,0.0888888888888889,-0.21695943562610223,0.4351358024691358,0.4609375,6
grammaticality_judgment,untrained_target_minus_control,treatment_gain,9,0.010329218106995873,0.005925925925926001,-0.04540873015873016,0.05981290417401525,0.8203125,6
grammaticality_judgment,extension_minus_control,treatment_gain,9,0.049365079365079334,0.057777777777777706,-0.00015931804820696317,0.10025440917107577,0.1640625,7
grammaticality_judgment,untrained_target_minus_control,maintenance_gain,9,0.015125327347549586,-0.002962962962962723,-0.08847772700550476,0.10615636523969853,0.8203125,4
grammaticality_judgment,extension_minus_control,maintenance_gain,9,0.01590828924162259,0.02851851851851861,-0.05528527336860668,0.08742239858906517,0.5703125,5
grammaticality_judgment,untrained_target_minus_control,cliff_intervention_vs_baseline,9,0.08163825200862238,0.0864197530864198,-0.10883891828336273,0.27901430531060156,0.49609375,5
grammaticality_judgment,extension_minus_control,cliff_intervention_vs_baseline,9,0.20399764844209287,0.23809523809523808,-0.02445620223398001,0.47092004703115786,0.1640625,6
grammaticality_judgment,untrained_target_minus_control,cliff_maintenance_vs_baseline,9,0.02589065255731922,-0.022222222222222254,-0.32755731922398584,0.37876543209876545,0.93359375,4
grammaticality_judgment,extension_minus_control,cliff_maintenance_vs_baseline,9,0.019894179894179895,0.0,-0.2641358024691358,0.2859294532627865,0.9375,4
