id,category,status,bytes,file_count,title,citation,url,local_path,note,error
eyben_2016_gemaps,acoustics,downloaded,808572,,The Geneva Minimalistic Acoustic Parameter Set (GeMAPS) for Voice Research and Affective Computing,"Eyben et al. (2016), IEEE Transactions on Affective Computing, DOI 10.1109/TAFFC.2015.2457417.",https://opus.bibliothek.uni-augsburg.de/opus4/files/38554/0214.pdf,data/external/literature/acoustics/eyben_2016_gemaps.pdf,,
fromm_2024_flucalc_aphasia,aphasia_discourse,downloaded,489171,,FLUCALC automated fluency measurement in aphasia,"Fromm et al. (2024), Journal of Speech, Language, and Hearing Research.",https://talkbank.org/aphasia/publications/2024/Fromm24-fluency.pdf,data/external/literature/aphasia_discourse/fromm_2024_flucalc_aphasia.pdf,,
frontiers_2024_multimodal_aphasia_discourse,aphasia_discourse,downloaded,520833,,Frontiers 2024 multimodal aphasia discourse paper,"Frontiers in Human Neuroscience (2024), DOI 10.3389/fnhum.2024.1419311.",https://www.frontiersin.org/journals/human-neuroscience/articles/10.3389/fnhum.2024.1419311/pdf,data/external/literature/aphasia_discourse/frontiers_2024_multimodal_aphasia_discourse.pdf,,
macwhinney_2024_spoken_discourse,aphasia_discourse,downloaded,16906125,,Spoken discourse in AphasiaBank/TalkBank context,"MacWhinney et al. (2024), TalkBank aphasia publication.",https://talkbank.org/aphasia/publications/2024/MacWhinney24.pdf,data/external/literature/aphasia_discourse/macwhinney_2024_spoken_discourse.pdf,,
pittman_2025_ciu_discourse_ml,aphasia_discourse,downloaded,545229,,Pittman 2025 CIU/discourse ML,"Pittman et al. (2025), TalkBank AphasiaBank publication.",https://talkbank.org/aphasia/publications/2025/Pittman25.pdf,data/external/literature/aphasia_discourse/pittman_2025_ciu_discourse_ml.pdf,,
nature_2026_aphasia_digital_twin_rct,aphasia_treatment,html_cached,263947,,Predicting bilingual aphasia treatment outcomes using digital twins: a double-blind randomized controlled trial,"Kiran, Carpenter, Grasemann, Scimeca, Marte, Russell-Meill, Peñaloza, Tripodis, Miikkulainen et al. (2026), npj Digital Medicine, DOI 10.1038/s41746-026-02583-9.",https://www.nature.com/articles/s41746-026-02583-9,data/external/literature/aphasia_treatment/kiran_2026_bilingual_aphasia_digital_twins.html,"Nature article page is open and indexed; PDF endpoint returned HTML in this environment, so the local cache is HTML.",
botting_2020_mls_young_adult_dld,dld_longitudinal,downloaded,284529,,"Language, literacy and cognitive skills of young adults with Developmental Language Disorder (DLD)",,https://openaccess.city.ac.uk/id/eprint/23291/1/Language%2520and%2520cognitive%2520skills%2520of%2520young%2520adults%2520with%2520DLD%2520as%2520accepted%2520for%2520CRO.pdf,data/external/literature/dld_longitudinal/botting_2020_language_literacy_cognitive_young_adults_dld.pdf,,
scales_ukds_user_guide,dld_longitudinal,downloaded,1127017,,SCALES Data T2-T5 User Guide,"Norbury, Griffiths, Gooch, Lucas and the SCALES Consortium (2022), UK Data Archive Study Number 8968 user guide.",https://doc.ukdataservice.ac.uk/doc/8968/mrdoc/pdf/8968_user_guide_scales_primary_08_07_22.pdf,data/external/literature/dld_longitudinal/scales_8968_user_guide_t2_t5.pdf,,
calder_2020_explicit_grammar_dld,dld_treatment,downloaded,812088,,Explicit grammar intervention in young school-aged children with Developmental Language Disorder,,https://discovery.ucl.ac.uk/id/eprint/10128237/1/Calder%20et%20al.%20%282020%29_Green.pdf,data/external/literature/dld_treatment/calder_2020_explicit_grammar_intervention_dld.pdf,,
calder_2020_figshare_supplements,dld_treatment,downloaded,6499922,22,Grammar intervention in young children with DLD Figshare supplemental materials,"Calder, Claessen, Ebbels, and Leitão (2020), ASHA Figshare dataset, DOI 10.23641/asha.11958771.",https://asha.figshare.com/articles/dataset/Grammar_intervention_in_young_children_with_DLD_Calder_et_al_2020_/11958771,data/external/literature/dld_treatment/calder_2020_figshare_supplements,,
