group,sent_type,prime,n_participants,n_trials,mean_participant_score,ci_low,ci_high
DLD,Filler,Irregular,15,90,0.8722222222222221,0.7611111111111111,0.9722222222222221
DLD,Filler,Regular,15,90,0.9055555555555557,0.8333333333333334,0.9666666666666668
DLD,OO,Irregular,15,90,0.2777777777777778,0.16666666666666666,0.4166666666666667
DLD,OO,Regular,15,90,0.3055555555555555,0.19444444444444448,0.4166666666666667
DLD,OS,Irregular,15,90,0.49999999999999994,0.34444444444444444,0.65
DLD,OS,Regular,15,90,0.6444444444444445,0.5111111111111112,0.7668055555555539
TD,Filler,Irregular,18,108,0.9814814814814815,0.9537037037037037,1.0
TD,Filler,Regular,18,108,1.0,1.0,1.0
TD,OO,Irregular,18,108,0.800925925925926,0.7175925925925926,0.8796296296296295
TD,OO,Regular,18,108,0.837962962962963,0.7407407407407408,0.925925925925926
TD,OS,Irregular,18,108,0.9398148148148147,0.8935185185185186,0.9814814814814815
TD,OS,Regular,18,108,0.949074074074074,0.9119212962962961,0.9814814814814815
