corpus,cha_files,parsed_feature_rows,parse_success_rate,participants_with_features,labelled_recovery_participants,persistent_participants,recovered_participants,median_sessions_per_featured_participant
IISRP,752,739,0.9827127659574468,122,87,19,68,7.0
Purdue,359,359,1.0,215,84,42,42,1.0
UMD-CMU,143,140,0.9790209790209791,29,0,0,0,6.0
Ulm,140,140,1.0,140,0,0,0,1.0
Voices-AWS,102,89,0.8725490196078431,89,0,0,0,1.0
Tellis,95,64,0.6736842105263158,13,0,0,0,5.0
Wagovich,90,90,1.0,9,0,0,0,10.0
IISRP-new,89,87,0.9775280898876404,87,82,15,67,1.0
Ratner,60,59,0.9833333333333333,49,0,0,0,1.0
Sawyer,51,51,1.0,51,0,0,0,1.0
Voices-CWS,48,36,0.75,36,0,0,0,1.0
Hakim,32,32,1.0,16,0,0,0,2.0
Maxfield,17,17,1.0,17,0,0,0,1.0
Brejon,8,8,1.0,8,0,0,0,1.0
Voices-AWC,7,7,1.0,7,0,0,0,1.0
VanZaalen,5,3,0.6,3,0,0,0,1.0
Examples,1,1,1.0,1,0,0,0,1.0
