corpus,parse_status,files
Brejon,parsed,8
Examples,parsed,1
Hakim,parsed,32
IISRP,parsed,739
IISRP,too_few_target_utterances,13
IISRP-new,failed,2
IISRP-new,parsed,87
Maxfield,parsed,17
Purdue,parsed,359
Ratner,failed,1
Ratner,parsed,59
Sawyer,parsed,51
Tellis,parsed,64
Tellis,too_few_target_utterances,31
UMD-CMU,failed,1
UMD-CMU,parsed,140
UMD-CMU,too_few_target_utterances,2
Ulm,parsed,140
VanZaalen,parsed,3
VanZaalen,too_few_target_utterances,2
Voices-AWC,parsed,7
Voices-AWS,failed,4
Voices-AWS,parsed,89
Voices-AWS,too_few_target_utterances,9
Voices-CWS,failed,2
Voices-CWS,parsed,36
Voices-CWS,too_few_target_utterances,10
Wagovich,parsed,90
