corpus,samples_probed,accessible_samples,statuses,median_remote_size_mb
Brejon,3,3,accessible,21.503628
Examples,1,1,accessible,16.695328
Hakim,3,3,accessible,9.092785
IISRP,3,0,blocked_or_missing,0.000231
IISRP-new,3,0,blocked_or_missing,0.000231
Maxfield,3,3,accessible,1596.433849
Purdue,3,0,blocked_or_missing,9e-06
Ratner,3,3,accessible,349.765985
Sawyer,3,3,accessible,17.551572
Tellis,3,3,accessible,5.603888
UMD-CMU,3,3,accessible,201.454899
Ulm,3,0,blocked_or_missing,9e-06
VanZaalen,3,3,accessible,8.025179
Voices-AWC,3,3,accessible,890.535685
Voices-AWS,3,3,accessible,140.9772
Voices-CWS,3,3,accessible,50.780625
Wagovich,3,0,blocked_or_missing,0.000231
