setup,subtype,f1,n
features_only,Anomic,0.5021645021645021,109
features_only,Broca,0.8536585365853658,122
features_only,Conduction,0.59375,93
features_only,Control,0.9043062200956937,400
features_only,NotAphasic,0.12658227848101267,54
features_only,TransMotor,0.16666666666666666,11
features_only,Wernicke,0.2631578947368421,28
acoustic_only,Anomic,0.5701754385964912,109
acoustic_only,Broca,0.8346456692913385,122
acoustic_only,Conduction,0.5485714285714286,93
acoustic_only,Control,0.9210526315789473,400
acoustic_only,NotAphasic,0.2564102564102564,54
acoustic_only,TransMotor,0.5882352941176471,11
acoustic_only,Wernicke,0.30434782608695654,28
features_plus_acoustic,Anomic,0.6173913043478261,109
features_plus_acoustic,Broca,0.84375,122
features_plus_acoustic,Conduction,0.6875,93
features_plus_acoustic,Control,0.9493975903614458,400
features_plus_acoustic,NotAphasic,0.14705882352941177,54
features_plus_acoustic,TransMotor,0.625,11
features_plus_acoustic,Wernicke,0.3333333333333333,28
features_plus_embeddings_plus_acoustic,Anomic,0.6550218340611353,109
features_plus_embeddings_plus_acoustic,Broca,0.8638132295719845,122
features_plus_embeddings_plus_acoustic,Conduction,0.7403314917127072,93
features_plus_embeddings_plus_acoustic,Control,0.9449760765550239,400
features_plus_embeddings_plus_acoustic,NotAphasic,0.2191780821917808,54
features_plus_embeddings_plus_acoustic,TransMotor,0.625,11
features_plus_embeddings_plus_acoustic,Wernicke,0.47619047619047616,28
