setup,subtype,f1,n
features_only_55,Acute_Aphasia,0.15126050420168066,92
features_only_55,Anomic,0.41141732283464566,485
features_only_55,Broca,0.7373271889400922,300
features_only_55,Chronic_Aphasia,0.1320754716981132,150
features_only_55,Conduction,0.38184663536776214,317
features_only_55,Control,0.833587786259542,1492
features_only_55,NotAphasic,0.299039780521262,434
features_only_55,TransMotor,0.1702127659574468,40
features_only_55,Wernicke,0.2077922077922078,111
embeddings_only,Acute_Aphasia,0.10619469026548672,92
embeddings_only,Anomic,0.46078431372549017,485
embeddings_only,Broca,0.694006309148265,300
embeddings_only,Chronic_Aphasia,0.14659685863874344,150
embeddings_only,Conduction,0.39365079365079364,317
embeddings_only,Control,0.8272972164022747,1492
embeddings_only,NotAphasic,0.379746835443038,434
embeddings_only,TransMotor,0.08,40
embeddings_only,Wernicke,0.17105263157894737,111
features_plus_embeddings,Acute_Aphasia,0.22033898305084745,92
features_plus_embeddings,Anomic,0.49250936329588013,485
features_plus_embeddings,Broca,0.7408536585365854,300
features_plus_embeddings,Chronic_Aphasia,0.2131979695431472,150
features_plus_embeddings,Conduction,0.4584615384615385,317
features_plus_embeddings,Control,0.8709280885064536,1492
features_plus_embeddings,NotAphasic,0.40793201133144474,434
features_plus_embeddings,TransMotor,0.22641509433962265,40
features_plus_embeddings,Wernicke,0.2,111
