setup,mae,rmse,r
predict_mean,20.94914590680691,25.52564773126719,
subtype_mean_only,11.06673825698575,17.40885431161031,0.7483578752122038
features_only_gbm,17.675646982170473,24.992042307783358,0.34571978429302797
subtype_plus_features_gbm,10.497270439108725,17.1631847746634,0.7554870000804557
z8_only_gbm,18.662651673306183,26.088073418012392,0.25706197907371847
subtype_plus_z8_gbm,10.618699089267242,17.28440664516751,0.7534533299121108
predict_mean_pwa,17.8954699464392,22.587784008867793,
subtype_mean_pwa,11.277028182621303,17.796335788364914,0.631016813693763
features_only_gbm_pwa,16.153769899325727,23.386429793682556,0.27163614495417854
subtype_plus_features_pwa,10.826397084235456,17.3426832824435,0.6523148429572829
