feature,n,r,p
mlu_words,21,0.39295179451674167,0.07804466340646764
utt_len_mean,21,0.39295179451674167,0.07804466340646764
z1,21,0.3381548637915017,0.1337937718731971
mlu_morphemes,21,0.33244214988589527,0.14090918949997813
ndw,21,0.3203759192588695,0.15680720452833397
z7,21,0.3090929353718778,0.1727653103812995
z8,21,-0.25299134329072986,0.26851727532182657
z5,21,0.2123587289081251,0.3554015362475583
z6,21,0.188871293742305,0.4122518702464203
z2,21,-0.09722963942940971,0.6750152694328058
function_word_ratio,21,-0.09578942393596118,0.679580764736868
z3,21,-0.0922125098213398,0.6909661151883941
ttr,21,-0.06853489946265906,0.7678547418256206
z4,21,0.007983808439236066,0.9726008702458112
