estimator,patients,weeks,days,point_accuracy,frac_confident,confident_precision,yield
naive,4,4,28,0.5933333333333334,0.33666666666666667,0.7910052910052909,0.26630511463844797
naive,4,8,56,0.66,0.34833333333333333,0.873015873015873,0.3041005291005291
naive,4,12,84,0.6733333333333333,0.325,0.9352617079889807,0.3039600550964187
naive,8,4,28,0.5775,0.305,0.7555164319248826,0.2304325117370892
naive,8,8,56,0.6225,0.29,0.8113425925925926,0.23528935185185182
naive,8,12,84,0.635,0.295,0.8521428571428571,0.25138214285714283
naive,12,4,28,0.6016666666666667,0.3144444444444444,0.7690316395014382,0.24181772664322998
naive,12,8,56,0.6566666666666666,0.3222222222222222,0.8390300415468199,0.2703541244984197
naive,12,12,84,0.67,0.31333333333333335,0.8916855631141346,0.2793948097757622
pooled,4,4,28,0.5933333333333334,0.6166666666666667,0.7018140589569161,0.4327853363567649
pooled,4,8,56,0.66,0.5416666666666666,0.7832167832167832,0.4242424242424242
pooled,4,12,84,0.6733333333333333,0.45666666666666667,0.8602941176470589,0.39286764705882354
pooled,8,4,28,0.6341666666666667,0.5633333333333334,0.7282936507936508,0.41027208994708997
pooled,8,8,56,0.6716666666666666,0.455,0.837126984126984,0.38089277777777775
pooled,8,12,84,0.6691666666666667,0.4066666666666667,0.8612268518518519,0.35023225308641975
pooled,12,4,28,0.7,0.5672222222222223,0.8240524290524289,0.46742085003473893
pooled,12,8,56,0.7155555555555556,0.48611111111111105,0.8787479557479556,0.42716914515525617
pooled,12,12,84,0.7161111111111111,0.4277777777777777,0.9022645502645503,0.38596872427983536
