n,seed,mae,n_corpora
50,0,15.166557019987115,18
50,1,17.890202421678463,14
50,2,16.05244786500379,16
50,3,14.600432473903824,18
50,4,18.843898338754283,16
100,0,12.163711282073233,25
100,1,15.12694152281411,23
100,2,12.95429812739541,24
100,3,14.642984535297177,24
100,4,13.972815932057278,23
200,0,12.831999624910127,27
200,1,12.107202202743279,27
200,2,10.795201466030381,27
200,3,11.52981139819136,25
200,4,12.24430858513159,26
400,0,9.685150827371794,28
400,1,9.947640306038279,30
400,2,9.991577231515548,31
400,3,9.411733089048932,29
400,4,10.543148871731166,31
800,0,9.699368232229057,31
800,1,9.78099291101159,31
800,2,10.10445768273817,31
800,3,9.596622007859274,31
800,4,10.047797755908217,31
895,0,10.009165401624958,31
895,1,9.9461976419926,31
895,2,9.902405254327036,31
895,3,9.87894382274348,31
895,4,9.874400381195509,31
